pl_name,pl_letter,hostname,gaia_id,ra,dec,disc_year,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_msinie,pl_msinieerr1,pl_msinieerr2,st_teff,st_met,st_lum,st_logg,st_age,st_mass,st_rad,sy_vmag,sy_gaiamag,sy_plx,ttv_flag,tran_flag,rv_flag
K2-4 b,b,K2-4,Gaia DR2 3792100950048409344,174.7455392,-3.9055746,2015,Transit,10.003417,0.001017,-0.000996,0.078,0.003,-0.003,2.1,0.2,-0.19,,,,,,,,,,,4014.73,,,,,0.64,0.57,14.855,14.3403,4.28506,0,1,0
K2-91 b,b,K2-91,Gaia DR2 149858216482858112,63.2182348,24.2047218,2016,Transit,1.419549,7.1e-05,-7.1e-05,0.0164,0.0011,-0.0011,1.1,0.18,-0.18,,,,,,,,,,,3622.0,,,5.0,,0.29,0.28,15.622,14.3219,15.9515,0,1,0
K2-219 d,d,K2-219,Gaia DR2 2581741400387500544,12.8452963,8.8675474,2018,Transit,11.137278,0.000808,-0.000786,,,,2.576,0.357,-0.323,,,,,,,,,,,5753.0,0.13,,4.23,,1.02,1.19,12.09,11.911,3.04486,0,1,0
K2-37 b,b,K2-37,Gaia DR2 6049595065740634624,243.4509662,-24.7870527,2016,Transit,4.44117,0.00075,-0.00075,0.0511,0.0009,-0.0009,1.61,0.17,-0.17,,,,,,,,,,,5413.0,-0.03,,4.52,,0.9,0.85,12.573,12.2573,5.52913,0,1,0
K2-139 b,b,K2-139,Gaia DR2 4084602654011029376,289.066707,-17.9107147,2017,Transit,28.380619,0.000551,-0.000528,0.1796,0.0015,-0.0015,9.11,0.17,-0.17,,,,,,,,,,,5370.0,0.24,,4.54,,0.96,0.88,11.652,11.4626,6.47101,0,1,1
K2-189 b,b,K2-189,Gaia DR2 3606343094804432128,203.6214411,-15.0365158,2018,Transit,2.588309,0.000221,-0.000207,0.0361,0.0004,-0.0004,1.52,0.09,-0.09,,,,,,,,,,,5519.0,0.0,,4.53,,0.94,0.87,12.398,12.2538,4.10173,0,1,0
HD 80606 b,b,HD 80606,Gaia DR2 1019003226022657920,140.6569501,50.6037764,2001,Radial Velocity,111.4367,0.0004,-0.0004,,,,11.994,0.336,-0.336,1392.0954,235.1942,-235.1942,1392.0954,235.1942,-235.1942,Mass,,,,5561.0,0.35,,4.42,,1.15,1.04,9.06,8.82008,15.0153,0,1,1
K2-193 b,b,K2-193,Gaia DR2 3616526878875985536,205.2371043,-11.0093342,2018,Transit,14.786889,0.000803,-0.00081,0.1184,0.002,-0.0021,3.95,0.12,-0.12,,,,,,,,,,,5817.0,0.0,,4.46,,1.01,0.98,13.341,13.0947,2.39889,0,1,0
K2-170 c,c,K2-170,Gaia DR2 2599451994385832448,335.4506923,-14.5933554,2018,Transit,12.400047,0.001735,-0.001883,,,,1.802,0.245,-0.158,,,,,,,,,,,5748.0,-0.11,,4.34,,0.96,0.98,12.668,12.4959,2.51725,0,1,0
K2-24 b,b,K2-24,Gaia DR2 6049750234317822208,242.5734559,-24.9906029,2016,Transit,20.88977,0.00034,-0.00035,,,,5.4,0.2,-0.2,19.0,2.2,-2.1,19.0,2.2,-2.1,Mass,,,,5625.0,0.34,,4.29,,1.07,1.16,11.275,10.9072,5.83465,1,1,1
K2-5 c,c,K2-5,Gaia DR2 3791512745687354496,169.3034598,-1.8778254,2015,Transit,10.93241,0.00134,-0.00134,0.0818,0.0059,-0.0059,2.26,0.62,-0.62,,,,,,,,,,,3930.0,-0.33,,4.71,,0.61,0.57,14.974,14.339,4.89899,0,1,0
K2-71 b,b,K2-71,Gaia DR2 2608279114251674624,341.7248656,-9.8816109,2016,Transit,6.98541,0.00075,-0.00075,0.0559,0.0025,-0.0025,2.15,0.33,-0.33,,,,,,,,,,,4006.0,,,4.85,,0.48,0.43,16.14,15.1887,6.49946,0,1,0
K2-215 b,b,K2-215,Gaia DR2 2564621115285038208,18.4700795,6.1238647,2018,Transit,8.269648,0.000467,-0.000456,,,,2.124,0.259,-0.158,,,,,,,,,,,5704.0,0.11,,4.41,,1.0,0.97,12.99,12.8302,2.44698,0,1,0
K2-69 b,b,K2-69,Gaia DR2 2614926005638892032,335.7596816,-10.4886817,2016,Transit,7.06599,0.0005,-0.0005,0.0591,0.0025,-0.0025,2.32,0.36,-0.36,,,,,,,,,,,4127.0,,,4.79,,0.55,0.49,16.024,15.0572,5.50581,0,1,0
HD 104067 b,b,HD 104067,Gaia DR2 3494677900774838144,179.7923543,-20.3556058,2009,Radial Velocity,55.806,0.049,-0.049,0.26,0.0,0.0,,,,,,,50.8528,6.3566,-6.3566,Msini,50.8528,6.3566,-6.3566,4937.0,0.0,,4.49,,0.62,0.74,7.92,7.62029,49.0793,0,0,1
HD 108874 b,b,HD 108874,Gaia DR2 3958951942642583936,187.6126029,22.8794399,2002,Radial Velocity,394.48123,0.6,-0.6,1.04,0.02,-0.02,,,,,,,451.3186,28.6047,-28.6047,Msini,451.3186,28.6047,-28.6047,5600.0,0.26,,4.44,,1.1,1.05,8.76,8.57502,16.773,0,0,1
HD 177830 b,b,HD 177830,Gaia DR2 2035963417721248128,286.3363574,25.9204327,1999,Radial Velocity,410.10001,2.2,-2.2,1.14,0.03,-0.03,,,,,,,537.1327,63.566,-63.566,Msini,537.1327,63.566,-63.566,4901.0,0.42,,3.64,,1.7,3.26,7.18,6.8866,15.903,0,0,1
HD 108236 b,b,HD 108236,Gaia DR2 6125644402384918784,186.5740627,-51.3630519,2020,Transit,3.795963,2.5e-05,-3.4e-05,0.04527,0.00096,-0.00088,1.615,0.051,-0.051,,,,,,,,,,,5660.0,-0.28,-0.15,4.49,6.7,0.87,0.88,9.25,9.08745,15.4517,0,1,0
HD 210277 b,b,HD 210277,Gaia DR2 2619706544757416192,332.3748117,-7.5505962,1998,Radial Velocity,442.19,0.5,-0.5,1.13,0.02,-0.02,,,,,,,410.0007,15.8915,-15.8915,Msini,410.0007,15.8915,-15.8915,5538.0,0.22,,4.38,,1.01,1.07,6.54348,6.34701,46.9229,0,0,1
HD 7924 b,b,HD 7924,Gaia DR2 560130775546153344,20.4956562,76.7101475,2008,Radial Velocity,5.39792,0.00025,-0.00025,0.06,0.0,0.0,,,,,,,6.3566,0.0,0.0,Msini,6.3566,0.0,0.0,5131.0,-0.21,,4.46,,0.65,0.78,7.17896,6.92516,58.8216,0,0,1
HD 8574 b,b,HD 8574,Gaia DR2 297045096447719040,21.3033807,28.5660169,2002,Radial Velocity,227.0,0.2,-0.2,0.76,0.01,-0.01,,,,,,,645.1949,44.4962,-44.4962,Msini,645.1949,44.4962,-44.4962,6064.0,0.01,,4.28,,1.34,1.38,7.12,6.98345,22.2795,0,0,1
HD 99492 b,b,HD 99492,Gaia DR2 3812355294261019904,171.689687,3.0071331,2004,Radial Velocity,17.0431,0.0047,-0.0047,0.12,0.0,0.0,,,,,,,22.2481,15.8915,-15.8915,Msini,22.2481,15.8915,-15.8915,4815.0,0.24,,4.28,,0.48,0.83,7.56727,7.26005,54.9057,0,0,1
Kepler-970 b,b,Kepler-970,Gaia DR2 2101379205604338688,289.6252192,40.7087351,2016,Transit,16.736525,2e-05,-2e-05,0.139,0.022,-0.026,2.609,0.265,-0.203,,,,,,,,,,,4290.0,0.04,-0.775,,0.105,0.67,0.71,15.21,14.8058,2.98745,0,1,0
HD 90156 b,b,HD 90156,Gaia DR2 5461620846141553024,155.9801144,-29.645103,2009,Radial Velocity,49.77,0.07,-0.07,0.25,0.004,-0.004,,,,,,,17.98,1.46,-1.46,Msini,17.98,1.46,-1.46,5599.0,-0.24,-0.143,4.48,4.4,0.84,,6.92,6.73951,45.5299,0,0,1
KMT-2017-BLG-1194L b,b,KMT-2017-BLG-1194L,,274.322125,-25.3239389,2023,Microlensing,,,,1.78,0.45,-0.46,,,,3.54,1.95,-1.63,3.54,1.95,-1.63,Mass,,,,,,,,,0.41,,,,,0,0,0
KMT-2019-BLG-0253L b,b,KMT-2019-BLG-0253L,,267.8825833,-29.5654722,2022,Microlensing,,,,3.1,0.8,-0.9,,,,9.2,5.0,-4.1,9.2,5.0,-4.1,Mass,,,,,,,,,0.7,,,,,0,0,0
OGLE-2018-BLG-0516L b,b,OGLE-2018-BLG-0516L,,269.640125,-31.2623889,2022,Microlensing,,,,2.2,0.8,-0.7,,,,20.1,16.4,-10.7,20.1,16.4,-10.7,Mass,,,,,,,,,0.47,,,,,0,0,0
OGLE-2018-BLG-0977L b,b,OGLE-2018-BLG-0977L,,268.506125,-30.6048056,2022,Microlensing,,,,2.0,0.6,-0.5,,,,6.4,5.2,-3.7,6.4,5.2,-3.7,Mass,,,,,,,,,0.47,,,,,0,0,0
LkCa 15 b,b,LkCa 15,Gaia DR2 144936836795636864,69.8241791,22.3508662,2015,Imaging,,,,14.7,2.1,-2.1,,,,,,,,,,,,,,4194.0,,,,,,1.61,12.025,11.5887,6.29465,0,0,0
HD 130322 b,b,HD 130322,Gaia DR2 3650718804281798912,221.8857975,-0.2820782,1999,Radial Velocity,10.70871,0.00018,-0.00018,0.0925,,,,,,,,,365.49,,,Msini,365.49,,,5387.0,,,4.52,,0.92,0.85,8.04,7.83448,31.3423,0,0,1
HD 102195 b,b,HD 102195,Gaia DR2 3799626935341796096,176.4254063,2.8209912,2006,Radial Velocity,4.11377,0.00056,-0.00056,0.05,0.0,0.0,,,,,,,130.3103,6.3566,-6.3566,Msini,130.3103,6.3566,-6.3566,5301.0,0.04,,4.49,,0.76,0.82,8.07,7.84665,34.056,0,0,1
HD 2638 b,b,HD 2638,Gaia DR2 2526925389919277056,7.4990038,-5.76496,2005,Radial Velocity,3.4442,0.0002,-0.0002,0.04,0.0,0.0,,,,,,,133.4886,9.5349,-9.5349,Msini,133.4886,9.5349,-9.5349,5186.0,0.13,,4.38,,0.77,0.94,9.44,9.192761,18.1656,0,0,1
GJ 317 c,c,GJ 317,Gaia DR2 5701750711020088192,130.2445254,-23.452809,2018,Radial Velocity,6739.323,143.106,-143.106,5.23,0.111,-0.111,,,,,,,522.5,19.1,-19.1,Msini,522.5,19.1,-19.1,,,,,,0.42,,12.4,10.7539,65.7744,0,0,1
GJ 414 A c,c,GJ 414 A,Gaia DR2 732857558276385664,167.7745044,30.4451688,2021,Radial Velocity,749.83,4.35,-3.63,1.4,0.055,-0.06,8.4,3.6,-2.5,,,,53.83,9.18,-8.58,Msini,53.83,9.18,-8.58,4120.0,0.24,-0.924,4.65,12.4,0.65,0.68,8.31,7.72808,84.0803,0,0,1
HD 46375 b,b,HD 46375,Gaia DR2 3131777319158581376,98.3030763,5.4625071,2000,Radial Velocity,3.023573,6.5e-05,-6.5e-05,0.0398,0.0023,-0.0023,,,,,,,71.8,6.0,-6.0,Msini,71.8,6.0,-6.0,5285.0,0.24,,4.53,,0.92,,7.91,7.69533,33.8088,0,0,1
HD 192310 b,b,HD 192310,Gaia DR2 6847167606385195648,303.8284712,-27.0337556,2011,Radial Velocity,74.72,0.1,-0.1,0.32,0.005,-0.005,,,,,,,16.9,0.9,-0.9,Msin(i)/sin(i),16.9,0.9,-0.9,5166.0,-0.04,-0.415,4.51,7.81,0.8,,5.73,5.47661,113.648,0,0,1
HD 115954 b,b,HD 115954,Gaia DR2 1476407794119745536,199.9853694,38.3691383,2021,Radial Velocity,3700.0,1500.0,-390.0,5.0,1.3,-0.36,,,,,,,2634.79749,238.37131,-184.34048,Msini,2634.79749,238.37131,-184.34048,5957.0,0.34,,4.15,,1.18,1.21,8.34,8.18736,11.381,0,0,1
HD 11505 b,b,HD 11505,Gaia DR2 2505825177666430592,28.2750265,-1.3284416,2022,Radial Velocity,32669.22247,12712.99788,-7172.26632,20.247,4.792,-3.413,,,,2510.52659,1031.35318,-541.26178,2510.52659,1031.35318,-541.26178,Mass,,,,,,,,,1.03,,7.43,7.25765,25.634,0,0,1
GJ 680 b,b,GJ 680,Gaia DR2 5946986063684477056,263.8072214,-48.6788427,2022,Radial Velocity,17281.66514,4832.84502,-3919.17991,10.138,1.836,-1.696,,,,7977.49302,1957.18733,-3543.46891,7977.49302,1957.18733,-3543.46891,Mass,,,,,,,,,0.46,,10.129,9.28322,103.35,0,0,1
HD 32963 b,b,HD 32963,Gaia DR2 3421680597955802624,76.9820146,26.3276805,2015,Radial Velocity,2372.0,26.0,-26.0,3.41,0.02,-0.02,,,,,,,222.481,9.5349,-9.5349,Msini,222.481,9.5349,-9.5349,5727.0,0.11,,4.41,4.99,0.94,,7.6,7.42756,26.2328,0,0,1
HD 80869 b,b,HD 80869,Gaia DR2 702119851729696640,140.7912931,33.9048294,2021,Radial Velocity,1752.92067,37.0165,-33.60283,2.905,0.127,-0.131,,,,1609.80088,809.82678,-179.57305,1609.80088,809.82678,-179.57305,Mass,,,,,,,,,1.06,,8.48,8.33173,11.6821,0,0,1
HD 55696 b,b,HD 55696,Gaia DR2 5565208310497615232,108.0622029,-38.174639,2018,Radial Velocity,1827.0,10.0,-10.0,3.18,0.18,-0.18,,,,,,,1230.0021,228.8376,-228.8376,Msini,1230.0021,228.8376,-228.8376,6012.0,0.37,0.43,,2.64,1.29,1.52,7.95,7.81135,12.7967,0,0,1
HD 125390 b,b,HD 125390,Gaia DR2 1484890423248544256,214.5387463,38.9669132,2019,Radial Velocity,1757.39151,4.66922,-5.44185,3.496,0.066,-0.069,,,,8646.20398,1311.99566,-99.48029,8646.20398,1311.99566,-99.48029,Mass,,,,,,,,,1.82,,8.21,7.94061,6.47975,0,0,1
GJ 832 b,b,GJ 832,Gaia DR2 6562924609150908416,323.3912616,-49.0125169,2008,Radial Velocity,3657.0,104.0,-104.0,3.56,0.28,-0.28,,,,,,,216.0,29.0,-28.0,Msini,216.0,29.0,-28.0,3472.0,-0.3,-1.585,4.7,,0.45,,8.66,7.73761,201.407,0,0,1
HD 34445 b,b,HD 34445,Gaia DR2 3241295308714904960,79.4207483,7.3527156,2009,Radial Velocity,1049.0,11.0,-11.0,2.07,0.04,-0.04,,,,,,,260.6206,28.6047,-28.6047,Msini,260.6206,28.6047,-28.6047,5879.0,0.18,,4.21,,1.14,1.38,7.31,7.14947,21.6675,0,0,1
GJ 15 A b,b,GJ 15 A,Gaia DR2 385334230892516480,4.6126677,44.0247296,2014,Radial Velocity,11.4407,0.0017,-0.0016,0.072,0.003,-0.004,,,,,,,3.03,0.46,-0.44,Msini,3.03,0.46,-0.44,3607.0,-0.34,-1.655,4.87,,0.38,0.38,8.09,7.2162,280.69,0,0,1
GJ 15 A c,c,GJ 15 A,Gaia DR2 385334230892516480,4.6126677,44.0247296,2018,Radial Velocity,7600.0,2200.0,-1700.0,5.4,1.0,-0.9,,,,,,,36.0,25.0,-18.0,Msini,36.0,25.0,-18.0,3607.0,-0.34,-1.655,4.87,,0.38,0.38,8.09,7.2162,280.69,0,0,1
HD 216437 b,b,HD 216437,Gaia DR2 6384510877400590336,343.6639631,-70.0733957,2002,Radial Velocity,1334.28,13.07,-13.36,2.497,0.036,-0.037,,,,,,,706.53609,18.43414,-18.43414,Msini,706.53609,18.43414,-18.43414,5909.0,0.2,,4.19,4.75,1.17,1.39,6.04,5.89397,37.438,0,0,1
HD 73267 b,b,HD 73267,Gaia DR2 5638825939745228544,129.0735123,-34.4594469,2008,Radial Velocity,1257.99159,0.50697,-0.60358,2.229,0.091,-0.1,,,,1321.53052,216.44115,-164.95294,1321.53052,216.44115,-164.95294,Mass,,,,,,,,,0.93,,8.9,8.67835,19.8087,0,0,1
HIP 97233 b,b,HIP 97233,Gaia DR2 4238527753544691712,296.4221207,-0.6968794,2014,Radial Velocity,1062.26506,8.8071,-9.63078,2.491,0.049,-0.051,,,,6098.17365,1157.84889,-102.9764,6098.17365,1157.84889,-102.9764,Mass,,,,,,,,,1.81,,7.34,7.07025,9.74888,0,0,1
BD+60 1417 b,b,BD+60 1417,Gaia DR2 1579929906250111232,190.8875453,60.0143636,2021,Imaging,,,,1662.0,,,14.684,0.673,-0.673,4767.4261,1589.14204,-1589.14204,4767.4261,1589.14204,-1589.14204,Mass,,,,4993.0,,0.356,4.55,0.1,1.0,0.8,9.374,9.17439,22.2159,0,0,0
HIP 75056 A b,b,HIP 75056 A,Gaia DR2 6206053714943873408,230.0556856,-34.9255486,2021,Imaging,47000.0,30000.0,-30000.0,30.0,15.0,-15.0,22.418,5.604,-5.604,7945.71018,1589.14204,-1589.14204,7945.71018,1589.14204,-1589.14204,Mass,,,,,,,,0.012,1.92,,7.78,7.73867,7.96147,0,0,0
Kepler-1708 b,b,Kepler-1708,Gaia DR2 2078801971283008128,296.8241065,43.6248197,2021,Transit,737.1131,0.00146,-0.0077,1.64,0.1,-0.1,9.96,0.6,-0.59,1462.01067,,,1462.01067,,,Mass,,,,6157.0,0.0,0.182,4.37,3.16,1.09,1.12,15.823,15.6837,0.572954,0,1,0
KOI-4777.01,b,KOI-4777,Gaia DR2 2102436351673656704,287.2621474,42.0322257,2014,Transit,0.412,1e-06,-1e-06,0.008,0.0003,-0.0003,0.51,0.03,-0.03,99.2,,,99.2,,,Mass,,,,3515.0,0.1,,4.77,4.0,0.41,0.4,16.413,15.8525,5.77722,0,1,0
HIP 5763 b,b,HIP 5763,Gaia DR2 2783854903410922496,18.495343,16.4942738,2021,Radial Velocity,30.014,0.1528,-0.2842,0.17,,,,,,,,,162.09249,,,Msini,162.09249,,,,,,,,0.72,,9.82,9.39022,31.3148,0,0,1
HIP 34222 b,b,HIP 34222,Gaia DR2 884039857341503616,106.4257786,27.4704132,2021,Radial Velocity,159.986,2.6753,-2.9256,0.492,,,,,,,,,263.79758,,,Msini,263.79758,,,,,,,,0.62,,10.14,9.57701,43.7567,0,0,1
HIP 86221 b,b,HIP 86221,,264.294875,27.896391,2021,Radial Velocity,2.224,0.0004,-0.0005,0.031,,,,,,,,,225.65817,,,Msini,225.65817,,,,,,,,0.79,,9.25,,33.91,0,0,1
Kepler-53 b,b,Kepler-53,Gaia DR2 2101188990094347648,290.4617926,40.5624966,2012,Transit,18.6489525,0.00016,-0.00016,,,,2.89,,,111.0,,,111.0,,,Mass,,,,5858.0,,,4.53,,0.98,0.89,15.367,15.3877,0.704174,1,1,0
Kepler-48 b,b,Kepler-48,Gaia DR2 2075112109039378688,299.1393094,40.948939,2012,Transit,4.778,,,,,,1.88,0.1,-0.1,3.94,2.1,-2.1,3.94,2.1,-2.1,Mass,,,,5194.0,0.17,,4.49,3.14,0.88,0.89,13.174,13.0772,3.23132,1,1,1
NGTS-3 A b,b,NGTS-3 A,Gaia DR2 2885350546895266432,94.4447595,-35.706364,2018,Transit,1.6753728,3e-06,-3e-06,0.023,0.007,-0.005,16.589,4.147,-4.147,756.4354,82.6358,-82.6358,756.4354,82.6358,-82.6358,Mass,,,,5600.0,0.12,,,,1.02,0.93,14.669,14.4878,1.31535,0,1,1
K2-117 b,b,K2-117,Gaia DR2 597829077890316928,133.8557342,10.4692176,2017,Transit,1.2916,4.9e-05,-5.1e-05,0.0189,0.0001,-0.0001,2.03,0.1,-0.1,,,,,,,,,,,3778.0,-0.05,,4.75,,0.54,0.51,14.639,13.8012,9.81066,0,1,0
HD 80913 b,b,HD 80913,Gaia DR2 5195752440555653504,138.1021548,-81.768451,2022,Radial Velocity,10839.83341,2660.45783,-1973.20021,9.95,1.683,-1.41,,,,7505.2,1142.27529,-1227.13548,7505.2,1142.27529,-1227.13548,Mass,,,,,,,,,1.11,,7.49,7.33567,16.2682,0,0,1
Kepler-52 d,d,Kepler-52,Gaia DR2 2133589776693414016,286.7380152,49.9757383,2014,Transit,36.445171,0.000253,-0.000253,0.182,,,1.95,0.21,-0.21,,,,,,,,,,,4263.0,,,4.73,,,0.56,15.513,15.0589,3.08128,1,1,0
HD 195019 b,b,HD 195019,Gaia DR2 1815418118373631360,307.0792427,18.7692509,1998,Radial Velocity,18.20132,0.00039,-0.00039,0.14,0.0,0.0,,,,,,,1264.9634,54.0311,-54.0311,Msini,1264.9634,54.0311,-54.0311,5751.0,0.05,,4.18,,1.21,1.48,6.87591,6.72911,26.5188,0,0,1
ups And d,d,ups And,Gaia DR2 348020448377061376,24.1983534,41.4038147,1999,Radial Velocity,1276.46,0.57,-0.57,2.51329,0.00075,-0.00075,,,,,,,1313.22,9.21668,-9.21668,Msini,1313.22,9.21668,-9.21668,,,,,5.0,1.3,1.56,4.09565,3.98687,74.5711,0,0,1
K2-238 b,b,K2-238,Gaia DR2 2631270757088861312,347.7043164,-7.8575592,2018,Transit,3.20466,3e-05,-3e-05,0.046,0.007,-0.006,14.572,1.681,-1.569,273.3338,41.3179,-38.1396,273.3338,41.3179,-38.1396,Mass,,,,5630.0,0.34,,4.11,5.63,1.19,1.59,13.973,13.6635,,0,1,1
K2-285 e,e,K2-285,Gaia DR2 2657374606238804992,349.3843458,1.3001522,2018,Transit,14.76289,0.00065,-0.00061,0.18041,0.0042,-0.0043,1.95,0.05,-0.05,10.7,,,10.7,,,Mass,,,,4975.0,0.0,,4.4,,0.83,0.79,12.075,11.804,6.42482,0,1,0
TOI-813 b,b,TOI-813,Gaia DR2 4665704096987467776,72.6940102,-60.9054608,2020,Transit,83.8911,0.0027,-0.0031,0.423,0.031,-0.037,6.71,0.38,-0.38,,,,,,,,,,,5907.0,0.1,,3.86,3.73,1.32,1.94,10.358,10.2352,3.77138,0,1,0
HD 105779 b,b,HD 105779,Gaia DR2 3567602184853029760,182.6612053,-16.9564908,2022,Radial Velocity,2412.0,55.0,-52.0,3.38,0.05,-0.05,,,,,,,203.41018,19.0697,-19.0697,Msini,203.41018,19.0697,-19.0697,5792.0,-0.25,-0.108,4.36,7.54,0.89,0.94,8.65,8.49018,18.0738,0,0,1
16 Cyg B b,b,16 Cyg B,Gaia DR2 2135550755683407232,295.4656422,50.5168243,1996,Radial Velocity,798.5,1.0,-1.0,1.66,0.03,-0.03,,,,,,,565.7374,25.4264,-25.4264,Msini,565.7374,25.4264,-25.4264,5750.0,0.06,,4.36,,1.08,1.13,6.215,6.06428,47.2754,0,0,1
ups And b,b,ups And,Gaia DR2 348020448377061376,24.1983534,41.4038147,1996,Radial Velocity,4.617033,2.3e-05,-2.3e-05,0.059222,0.0,-0.0,,,,,,,218.531,1.39839,-1.39839,Msini,218.531,1.39839,-1.39839,,,,,5.0,1.3,1.56,4.09565,3.98687,74.5711,0,0,1
TOI-178 f,f,TOI-178,Gaia DR2 2318295979126499200,7.3020115,-30.4541159,2021,Transit,15.231915,0.000115,-9.5e-05,0.1039,0.0031,-0.0031,2.287,0.108,-0.11,7.72,1.67,-1.52,7.72,1.67,-1.52,Mass,,,,4316.0,-0.23,-0.879,4.45,7.1,0.65,0.65,11.955,11.1523,15.9205,0,1,1
K2-19 b,b,K2-19,Gaia DR2 3798833775141351552,174.9602543,0.603596,2015,Transit,7.9222,0.0001,-0.0001,,,,7.0,0.2,-0.2,32.4,1.7,-1.7,32.4,1.7,-1.7,Mass,,,,5322.0,0.06,,4.51,,0.88,0.82,13.024,12.8153,3.42298,1,1,1
GJ 876 e,e,GJ 876,Gaia DR2 2603090003484152064,343.3239737,-14.2665958,2010,Radial Velocity,124.26,0.7,-0.7,0.3343,0.0013,-0.0013,,,,14.6,1.7,-1.7,14.6,1.7,-1.7,Mass,,,,,,-1.907,,1.0,0.32,0.3,10.16,8.8753,213.867,0,0,1
HD 217107 b,b,HD 217107,Gaia DR2 2648914040357320576,344.5647243,-2.3954489,1998,Radial Velocity,7.12682,3.9e-05,-3.9e-05,0.08,0.0,0.0,,,,,,,413.179,15.8915,-15.8915,Msini,413.179,15.8915,-15.8915,5622.0,0.36,,4.34,,1.0,1.11,6.155,5.96401,49.817,0,0,1
HD 187123 b,b,HD 187123,Gaia DR2 2047452661412980736,296.7428786,34.41899,1998,Radial Velocity,3.0965828,7.8e-06,-7.8e-06,0.0426,0.0025,-0.0025,,,,,,,166.218,13.666,-13.666,Msini,166.218,13.666,-13.666,5790.0,0.09,0.127,4.33,,1.04,1.15,7.83,7.67284,21.7316,0,0,1
HD 187123 c,c,HD 187123,Gaia DR2 2047452661412980736,296.7428786,34.41899,2008,Radial Velocity,3810.0,420.0,-420.0,4.89,0.53,-0.53,,,,,,,632.46,79.45,-79.45,Msini,632.46,79.45,-79.45,5790.0,0.09,0.127,4.33,,1.04,1.15,7.83,7.67284,21.7316,0,0,1
K2-295 b,b,K2-295,Gaia DR2 2564784633279953536,19.6101417,6.8167277,2018,Transit,4.024867,1.5e-05,-1.5e-05,0.0451,0.0006,-0.0014,10.054,0.123,-0.056,106.47305,19.70546,-19.70546,106.47305,19.70546,-19.70546,Mass,,,,4444.0,0.14,,4.63,,0.74,0.7,13.8941,13.5184,4.26686,0,1,1
nu Oph c,c,nu Oph,Gaia DR2 4164319171169516160,269.7566013,-9.7741342,2012,Radial Velocity,3184.83,5.93,-5.93,5.931,,,,,,7838.32346,,,7838.32346,,,Mass,,,,4886.0,0.06,2.039,2.56,0.65,2.7,14.6,3.31216,3.09653,21.64,0,0,1
HD 47366 c,c,HD 47366,Gaia DR2 2951804033248308480,99.4200181,-12.9856593,2016,Radial Velocity,682.85,4.98,-4.9,1.97,0.08,-0.09,,,,,,,597.5204,38.1396,-44.4962,Msini,597.5204,38.1396,-44.4962,4914.0,-0.07,1.389,3.1,0.94,2.19,6.2,6.11151,5.83869,11.8263,0,0,1
GJ 27.1 b,b,GJ 27.1,Gaia DR2 4980466929964496128,9.9980016,-44.2541679,2014,Radial Velocity,15.819,0.023,-0.026,0.101,0.009,-0.013,,,,,,,13.0,4.1,-6.6,Msini,13.0,4.1,-6.6,3542.0,,-1.585,,,0.53,,11.45,10.579,42.3328,0,0,1
GJ 160.2 b,b,GJ 160.2,Gaia DR2 5091077112523802112,61.6454173,-20.8564724,2014,Radial Velocity,5.2354,0.0027,-0.0065,0.053,0.004,-0.007,,,,,,,10.2,7.2,-5.9,Msini,10.2,7.2,-5.9,4347.0,,-0.796,,,0.69,,9.7,9.20154,38.6473,0,0,1
GJ 180 c,c,GJ 180,Gaia DR2 2979590513145784192,73.460097,-17.776194,2014,Radial Velocity,24.329,0.052,-0.066,0.129,0.007,-0.017,,,,,,,6.4,3.7,-4.1,Msini,6.4,3.7,-4.1,3371.0,,-1.886,,,0.43,,10.914,9.93395,83.7182,0,0,1
GJ 682 b,b,GJ 682,Gaia DR2 5955305209191546112,264.2610245,-44.3232519,2014,Radial Velocity,17.478,0.062,-0.04,0.08,0.014,-0.004,,,,,,,4.4,3.7,-2.4,Msini,4.4,3.7,-2.4,3028.0,,-2.699,,,0.27,,10.94,9.57025,199.703,0,0,1
GJ 682 c,c,GJ 682,Gaia DR2 5955305209191546112,264.2610245,-44.3232519,2014,Radial Velocity,57.32,0.45,-0.48,0.176,0.03,-0.009,,,,,,,8.7,5.8,-4.6,Msini,8.7,5.8,-4.6,3028.0,,-2.699,,,0.27,,10.94,9.57025,199.703,0,0,1
NY Vir c,c,NY Vir,Gaia DR2 3637481302758519040,204.7005847,-2.0303873,2019,Eclipse Timing Variations,8799.0,240.0,-240.0,,,,,,,,,,1760.7782,63.566,-63.566,Msini,1760.7782,63.566,-63.566,32780.0,,1.375,5.74,,0.46,0.15,13.496,13.3943,1.81161,0,0,0
HD 233832 b,b,HD 233832,Gaia DR2 790236569003888000,171.5196515,50.3763099,2018,Radial Velocity,2058.0,47.0,-40.0,2.827,0.045,-0.039,,,,,,,565.7374,25.4264,-19.0698,Msini,565.7374,25.4264,-19.0698,4981.0,-0.66,,4.49,5.417,0.71,0.68,10.15,9.94557,16.9952,0,0,1
