pl_name,pl_letter,hostname,gaia_id,ra,dec,disc_year,discoverymethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_rade,pl_radeerr1,pl_radeerr2,pl_masse,pl_masseerr1,pl_masseerr2,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmassprov,pl_msinie,pl_msinieerr1,pl_msinieerr2,st_teff,st_met,st_lum,st_logg,st_age,st_mass,st_rad,sy_vmag,sy_gaiamag,sy_plx,ttv_flag,tran_flag,rv_flag
WASP-82 b,b,WASP-82,Gaia DR2 3231856379348299008,72.6605916,1.8938365,2015,Transit,2.70579,2e-06,-2e-06,,,,18.159,1.457,-1.457,371.8611,63.566,-63.566,371.8611,63.566,-63.566,Mass,,,,6480.0,0.12,,3.96,,1.48,2.1,10.073,9.89796,3.59924,0,1,1
K2-148 c,c,K2-148,Gaia DR2 2536443724641751808,14.5176494,-0.193258,2018,Transit,6.9226,0.0007,-0.0007,0.0616,0.0019,-0.0019,1.73,0.24,-0.21,,,,,,,,,,,4079.0,-0.11,-0.996,4.65,,0.65,0.63,13.627,13.0599,8.00615,0,1,0
eps CrB b,b,eps CrB,Gaia DR2 1220404653534258816,239.3965057,26.8776171,2012,Radial Velocity,417.9,0.5,-0.5,1.3,,,,,,,,,2129.461,95.349,-95.349,Msini,2129.461,95.349,-95.349,4406.0,-0.094,,1.94,1.74,1.7,21.0,4.12577,3.75773,14.2898,0,0,1
HD 4732 b,b,HD 4732,Gaia DR2 2345744256120965504,12.3085089,-24.1369079,2012,Radial Velocity,360.2,1.4,-1.4,1.19,0.05,-0.05,,,,,,,753.23,108.06,-108.06,Msini,753.23,108.06,-108.06,4959.0,0.01,1.19,3.16,,1.74,5.4,5.9,5.6509,18.2248,0,0,1
HD 40307 b,b,HD 40307,Gaia DR2 4758877919212831104,88.5172191,-60.0237289,2009,Radial Velocity,4.3123,0.0011,-0.0012,0.0468,0.0024,-0.0023,,,,,,,4.0,0.8,-0.7,Msini,4.0,0.8,-0.7,4956.0,-0.31,-0.639,4.47,4.5,0.77,,7.17,6.84367,77.2727,0,0,1
HD 40307 d,d,HD 40307,Gaia DR2 4758877919212831104,88.5172191,-60.0237289,2009,Radial Velocity,20.432,0.022,-0.024,0.1321,0.0066,-0.0066,,,,,,,9.5,1.7,-1.5,Msini,9.5,1.7,-1.5,4956.0,-0.31,-0.639,4.47,4.5,0.77,,7.17,6.84367,77.2727,0,0,1
HD 40307 g,g,HD 40307,Gaia DR2 4758877919212831104,88.5172191,-60.0237289,2013,Radial Velocity,197.8,5.7,-9.0,0.6,0.034,-0.033,,,,,,,7.1,2.6,-2.6,Msini,7.1,2.6,-2.6,4956.0,-0.31,-0.639,4.47,4.5,0.77,,7.17,6.84367,77.2727,0,0,1
OGLE-2019-BLG-1470L AB c,c,OGLE-2019-BLG-1470L A,,271.9492083,-27.0335556,2022,Microlensing,,,,3.2,1.2,-1.2,,,,699.2225,572.09113,-413.17693,699.2225,572.09113,-413.17693,Mass,,,,,,,,,0.57,,,,,0,0,0
KPS-1 b,b,KPS-1,Gaia DR2 1055895483267019392,165.167198,64.9638452,2018,Transit,1.706291,5.9e-05,-5.9e-05,0.0269,0.001,-0.001,11.545,1.457,-1.345,346.4347,27.33338,-27.65121,346.4347,27.33338,-27.65121,Mass,,,,5165.0,0.22,,4.47,,0.89,0.91,12.97,12.7933,3.778,0,1,1
TOI-677 b,b,TOI-677,Gaia DR2 5313031504751276032,144.1193594,-50.4630933,2020,Transit,11.2366,0.00011,-0.00011,0.1038,0.0017,-0.0017,13.115,0.336,-0.336,392.83788,21.93027,-21.29461,392.83788,21.93027,-21.29461,Mass,,,,6295.0,0.0,,4.29,2.92,1.18,1.28,9.822,9.66082,7.02284,0,1,1
HD 56414 b,b,HD 56414,Gaia DR2 5268547016621360768,107.8436846,-68.8333403,2022,Transit,29.04992,0.00021,-0.00021,0.229,0.004,-0.004,3.71,0.2,-0.2,,,,,,,,,,,8500.0,0.0,1.158,,0.42,1.89,1.75,9.217,9.20475,3.64491,0,1,0
TOI-1130 c,c,TOI-1130,Gaia DR2 6715688452614516736,286.3760037,-41.4376399,2020,Transit,8.350381,3.2e-05,-3.3e-05,0.07098,0.00056,-0.0006,16.814,3.026,-2.466,309.56642,13.66669,-13.98452,309.56642,13.66669,-13.98452,Mass,,,,4250.0,0.2,-0.854,4.6,8.2,0.68,0.69,11.595,10.9028,17.1355,0,1,1
TOI-220 b,b,TOI-220,Gaia DR2 5481210874877547904,91.7996988,-61.9972098,2021,Transit,10.695264,8.6e-05,-8.6e-05,0.08911,0.001,-0.001,3.03,0.15,-0.15,13.8,1.0,-1.0,13.8,1.0,-1.0,Mass,,,,5298.0,-0.217,,4.37,10.1,0.82,0.86,10.466,10.1897,10.9915,0,1,1
TOI-776 b,b,TOI-776,Gaia DR2 3460438662009633408,178.577997,-37.5533568,2020,Transit,8.24661,5e-05,-4e-05,0.0652,0.0015,-0.0015,1.85,0.13,-0.13,4.0,0.9,-0.9,4.0,0.9,-0.9,Mass,,,,3709.0,-0.2,-1.31,4.73,7.8,0.54,0.54,11.536,10.7409,36.7762,0,1,1
TOI-776 c,c,TOI-776,Gaia DR2 3460438662009633408,178.577997,-37.5533568,2020,Transit,15.6653,0.0004,-0.0003,0.1,0.0024,-0.0024,2.02,0.14,-0.14,5.3,1.8,-1.8,5.3,1.8,-1.8,Mass,,,,3709.0,-0.2,-1.31,4.73,7.8,0.54,0.54,11.536,10.7409,36.7762,0,1,1
HD 27894 c,c,HD 27894,Gaia DR2 4678605152248591488,65.1975693,-59.4096776,2017,Radial Velocity,36.07,0.26,-0.09,0.198,0.001,-0.001,,,,,,,51.48846,3.49613,-12.7132,Msini,51.48846,3.49613,-12.7132,,0.3,,,,0.8,,9.36,9.06573,22.791,0,0,1
WASP-34 b,b,WASP-34,Gaia DR2 3537110833333561728,165.3993679,-23.8609457,2010,Transit,4.31768,5e-06,-5e-06,,,,11.209,0.897,-0.897,177.9848,54.0311,-54.0311,177.9848,54.0311,-54.0311,Mass,,,,5700.0,-0.02,,4.5,,0.96,0.91,10.285,10.2046,7.54178,0,1,1
HD 209458 b,b,HD 209458,Gaia DR2 1779546757669063552,330.7950219,18.8842419,1999,Radial Velocity,3.52474859,3.8e-07,-3.8e-07,,,,15.581,0.224,-0.224,232.0159,12.7132,-12.7132,232.0159,12.7132,-12.7132,Mass,,,,6091.0,0.01,,4.45,,1.23,1.19,7.65,7.50866,20.6745,0,1,1
WASP-21 b,b,WASP-21,Gaia DR2 2831084391023184128,347.4928024,18.3961597,2010,Transit,4.322482,1.9e-05,-2.4e-05,0.052,0.00041,-0.00044,11.99,0.56,-0.56,95.345,3.496,-3.496,95.345,3.496,-3.496,Mass,,,,,,,,,,,11.59,11.3987,3.84125,0,1,1
XO-1 b,b,XO-1,Gaia DR2 1316708918505350528,240.5492745,28.1696248,2006,Transit,3.94153,2.7e-05,-2.7e-05,,,,12.778,0.785,-0.785,263.7989,41.3179,-41.3179,263.7989,41.3179,-41.3179,Mass,,,,5750.0,0.02,,4.51,,0.88,0.88,11.251,11.004,6.08537,0,1,1
55 Cnc d,d,55 Cnc,Gaia DR2 704967037090946688,133.1468373,28.3298154,2002,Radial Velocity,5574.2,93.8,-88.6,5.957,0.074,-0.071,,,,,,,991.6,30.7,-33.1,Msini,991.6,30.7,-33.1,5172.0,0.35,,4.43,,0.91,0.94,5.95084,5.72973,79.4274,0,0,1
HAT-P-28 b,b,HAT-P-28,Gaia DR2 363702817083391232,13.0009159,34.728402,2011,Transit,3.257215,7e-06,-7e-06,0.0434,0.0007,-0.0007,13.585,1.267,-0.919,198.953,11.759,-11.759,198.953,11.759,-11.759,Mass,,,,5680.0,0.12,0.053,4.36,6.1,1.02,1.1,13.098,12.8718,2.46327,0,1,1
WASP-62 b,b,WASP-62,Gaia DR2 4756649415309914240,87.1398205,-63.9883286,2012,Transit,4.41195,3e-06,-3e-06,,,,14.796,0.897,-0.897,165.2716,25.4264,-25.4264,165.2716,25.4264,-25.4264,Mass,,,,6230.0,0.04,,4.45,,1.11,1.23,10.213,10.0721,5.66486,0,1,1
K2-266 d,d,K2-266,Gaia DR2 3855246074629979264,157.9356855,0.9372782,2018,Transit,14.697,0.00034,-0.00035,0.1035,0.0016,-0.0017,2.93,0.14,-0.12,8.9,5.7,-3.8,8.9,5.7,-3.8,Mass,9.4,2.9,-2.0,4285.0,-0.12,-0.823,4.58,,0.69,0.7,11.625,11.3527,12.865,1,1,0
HD 73583 b,b,HD 73583,Gaia DR2 5746824674801810816,129.6883026,-13.2565267,2022,Transit,6.398042,6.7e-06,-6.2e-06,0.0604,0.0027,-0.0026,2.79,0.1,-0.1,10.2,3.4,-3.1,10.2,3.4,-3.1,Mass,,,,4511.0,0.0,,4.62,0.48,0.73,0.65,9.67,9.27033,31.6501,0,1,1
TOI-712 c,c,TOI-712,Gaia DR2 5284358990266469760,92.9361063,-65.8258386,2022,Transit,51.69906,0.00017,-0.00017,0.2447,0.003,-0.0028,2.701,0.092,-0.082,,,,,,,,,,,4622.0,-0.02,-0.728,4.64,0.83,0.73,0.67,10.838,10.5785,17.0297,0,1,1
WASP-1 b,b,WASP-1,Gaia DR2 2862548428079638912,5.1669536,31.9899732,2007,Transit,2.5199454,5e-07,-5e-07,0.03889,0.00053,-0.00073,16.623,0.269,-0.381,271.415,18.116,-16.526,271.415,18.116,-16.526,Mass,,,,,,0.441,,3.4,1.24,1.47,11.308,11.5349,2.51707,0,1,1
Qatar-3 b,b,Qatar-3,Gaia DR2 2878641361300809856,359.1519716,36.2129562,2017,Transit,2.5079204,,,0.03783,0.00069,-0.00069,12.285,1.569,-1.569,1369.8473,149.3801,-149.3801,1369.8473,149.3801,-149.3801,Mass,,,,6007.0,-0.041,0.279,4.29,0.31,1.15,1.27,12.929,12.8203,1.33157,0,1,1
WASP-60 b,b,WASP-60,Gaia DR2 2868528637464028160,356.6667136,31.1559115,2012,Transit,4.305,6e-06,-6e-06,,,,9.864,1.345,-1.345,174.8065,60.3877,-60.3877,174.8065,60.3877,-60.3877,Mass,,,,5900.0,-0.04,,4.2,,1.19,1.17,11.67,12.0196,2.29163,0,1,1
Qatar-7 b,b,Qatar-7,Gaia DR2 2878923523472328704,358.5151344,37.0218242,2019,Transit,2.032046,9.7e-06,-1.4e-05,0.0352,0.0002,-0.0002,19.055,0.336,-0.336,597.5204,79.4575,-79.4575,597.5204,79.4575,-79.4575,Mass,,,,6387.0,0.276,0.563,4.2,1.69,1.41,1.56,13.134,12.9275,1.38842,0,1,1
V1298 Tau d,d,V1298 Tau,Gaia DR2 51886335968692480,61.331654,20.1570318,2019,Transit,12.4032,0.0015,-0.0015,0.1083,0.0017,-0.0017,6.41,0.45,-0.4,,,,,,,,,,,,,,,0.023,1.1,1.34,10.115,10.0702,9.21392,1,1,0
pi Men d,d,HD 39091,Gaia DR2 4623036865373793408,84.2992798,-80.4646041,2022,Radial Velocity,124.64,0.48,-0.52,,,,,,,,,,13.38,1.35,-1.35,Msini,13.38,1.35,-1.35,5998.0,0.09,,,3.92,1.07,1.19,5.65,5.5128,54.7052,0,0,1
HD 105618 c,c,HD 105618,Gaia DR2 3906803888551408000,182.4021288,11.2115695,2022,Radial Velocity,77114.07158,22860.71764,-10271.15556,35.731,6.866,-3.639,,,,8419.59233,1379.37529,-898.50091,8419.59233,1379.37529,-898.50091,Mass,,,,,,,,,1.01,,8.63,8.46692,14.24,0,0,1
HD 113337 b,b,HD 113337,Gaia DR2 1676282377934772608,195.4438496,63.610328,2013,Radial Velocity,317.58639,1.62423,-1.4301,1.022,0.055,-0.062,,,,,,,1035.80278,119.82131,-129.99182,Msini,1035.80278,119.82131,-129.99182,,,,,,1.41,,6.02078,5.91168,27.6107,0,0,1
