pl_rade,Teq,st_teff,pl_orbsmax,st_met
16.926,4121.0,6566.0,0.00858824466533586,0.0
20.737,3851.0,6446.0,0.011614145777491047,0.05
13.45,1330.0,5540.0,0.0453,0.14
15.468,4250.0,6075.0,0.0072214979726114405,0.0
12.644,1592.0,5806.0,0.02818,-0.01
15.681,1388.0,5948.0,0.0525,0.09
9.528,1452.0,5200.0,0.0316,0.18
14.235,1634.0,6100.0,0.0375,0.07
21.185,1801.0,5835.0,0.03951,0.1
9.528,1464.0,5638.0,0.0451,0.27
11.187,826.0,3724.0,0.03623,0.2
13.787,3735.0,5830.0,0.006785445619497069,0.14
11.949,377.0,5625.0,0.4021,-0.01
17.295,1929.0,6124.0,0.0286,0.016
5.717,1033.0,4910.0,0.0453,0.24
14.572,3257.0,5990.0,0.008797829057304765,-0.15
13.787,1696.0,5617.0,0.02335,-0.1
12.767,1419.0,5587.0,0.03493,0.268
11.153,855.0,4803.0,0.0559,0.1
1.9,2562.0,5770.0,0.011500069265499291,0.07
2.879,2092.0,5770.0,0.01724481242997365,0.07
4.627,1479.0,5770.0,0.03450304644874972,0.07
2.639,1207.0,5770.0,0.05181008875041921,0.07
2.53,832.0,5770.0,0.10896759202924591,0.07
18.82,1697.0,6554.0,0.06562,0.22
1.664,905.0,5664.0,0.0964,-0.24
15.244,2074.0,6409.0,0.0274,-0.1
13.787,2873.0,6000.0,0.010972309724370775,-0.05
1.554,2236.0,5185.0,0.01127665977901595,-0.05
10.604,1347.0,5150.0,0.03963,-0.03
11.43,1213.0,5316.0,0.04,0.3
11.31,1190.0,4309.0,0.0234,0.252
9.158,489.0,5050.0,0.201,0.22
13.563,3710.0,6034.0,0.00717708593483188,0.16
19.616,1814.0,6071.0,0.04735,-0.02
9.718,995.0,4595.0,0.0361,0.35
14.348,1389.0,5743.0,0.0575,0.27
2.194,286.0,3430.0,0.145,-0.27
1.62,2487.0,5534.0,0.0097,0.22
3.0,1071.0,5991.0,0.0787,0.0
13.563,1532.0,5900.0,0.0469,0.29
16.511,1825.0,6450.0,0.0514,-0.05
13.171,1403.0,5943.0,0.04354,0.06
14.247,1742.0,5400.0,0.02648,-0.08
14.807,1684.0,5400.0,0.0226,-0.07
14.46,4910.0,6250.0,0.008533672560745345,-0.06
12.89,1928.0,5200.0,0.012242567180710883,-0.07
2.268,1244.0,4174.0,0.016879058631738046,-0.58
14.908,1517.0,6400.0,0.0617,0.0
2.99,1692.0,5534.0,0.02420882767519465,0.07
1.169,767.0,2988.0,0.02734,-0.262
5.7,1847.0,5428.0,0.022355309631085993,0.0
2.68,864.0,5650.0,0.0863,-0.07
0.78,2228.0,5521.0,0.011471697166876328,0.01
1.48,2879.0,4897.0,0.005007795927931873,0.07
1.41,2479.0,5660.0,0.00979409058092073,-0.03
6.85,529.0,6050.0,0.4607,0.01
11.68,1590.0,6264.0,0.0888,0.342
11.467,1183.0,5321.0,0.0388,0.12
0.64,538.0,3841.0,0.0753,-0.18
1.51,488.0,3841.0,0.0913,-0.18
1.51,411.0,3841.0,0.1288,-0.18
12.42,407.0,6145.0,0.753,0.119
1.73,2437.0,5893.0,0.022856264887261907,0.03
4.92,1044.0,4094.0,0.024810480649137136,-0.45
5.35,901.0,5904.0,0.1662,0.025
2.0,573.0,4684.0,0.1162,-0.2
1.87,482.0,4684.0,0.1646,-0.2
0.818,749.0,4684.0,0.068,-0.2
1.137,649.0,4684.0,0.0906,-0.2
2.765,1134.0,4435.0,0.02636,0.175
8.687,654.0,4650.0,0.0697,-0.15
14.785,1484.0,5980.0,0.05561,0.13
15.693,3719.0,6200.0,0.009121028585008099,0.01
16.018,1536.0,5870.0,0.03908,-0.36
22.978,3589.0,6390.0,0.010090063147070647,0.21
3.51,1721.0,5634.0,0.02234,0.14
2.57,687.0,5360.0,0.11268373579477785,-0.03
3.12,4051.0,5281.0,0.0032812115610110367,-0.04
2.21,772.0,5390.0,0.08575749434481392,-0.03
1.57,3054.0,6176.0,0.01411709640037525,0.03
2.53,645.0,5262.0,0.3734034088843789,-0.1
3.05,2882.0,6846.0,0.016161706807868773,0.06
1.704,780.0,4552.0,0.0422,-0.284
14.46,1475.0,5936.0,0.0571,0.158
18.114,1847.0,6280.0,0.03185,-0.105
12.845,1456.0,5910.0,0.0475,0.233
12.229,1125.0,5706.0,0.0675,0.387
13.137,1650.0,5859.0,0.04611,0.273
14.28,1523.0,5725.0,0.0463,0.187
13.047,1348.0,6060.0,0.04469,0.237
0.914,481.0,3459.0,0.0677,-0.07
1.073,309.0,3459.0,0.1633,-0.07
0.953,342.0,3459.0,0.134,-0.07
1.62,1570.0,4884.0,0.019,0.08
4.71,1092.0,5527.0,0.06356,0.04
4.48,911.0,5248.0,0.06702,0.13
2.13,827.0,3556.0,0.03165,-0.06
12.285,616.0,6096.0,0.3081,0.14
